feature_0,feature_1,class_label
2.5734,-1.0201,1.0000
1.7487,-0.4891,1.0000
4.1046,-1.5482,1.0000
2.3314,-0.8250,1.0000
4.1859,-3.2673,1.0000
3.6198,0.1095,1.0000
4.4546,-1.7002,1.0000
4.3612,-6.2888,1.0000
3.4207,1.9935,1.0000
4.3506,0.8745,1.0000
1.4984,-2.5160,1.0000
2.0038,-0.4949,1.0000
1.8160,-3.3498,1.0000
3.2553,-0.9713,1.0000
3.4188,1.4615,1.0000
2.0906,0.3608,1.0000
3.0838,-2.4971,1.0000
4.3042,-3.2335,1.0000
3.3753,-0.1297,1.0000
4.0300,-2.0404,1.0000
2.8597,-2.0783,1.0000
4.9096,-0.4636,1.0000
1.6277,-2.8162,1.0000
2.9933,-0.0841,1.0000
3.3727,-3.2954,1.0000
3.5513,-0.7429,1.0000
3.6216,-0.5253,1.0000
5.2472,1.6876,1.0000
4.9096,-3.1270,1.0000
5.5104,-1.3021,1.0000
2.7420,-4.0618,1.0000
2.1682,-2.3210,1.0000
4.6771,-0.6227,1.0000
2.9316,-5.7405,1.0000
3.0997,0.9780,1.0000
4.9240,0.2693,1.0000
4.8688,-1.3466,1.0000
3.8836,0.2686,1.0000
3.9081,-3.4366,1.0000
2.0866,-2.6355,1.0000
3.4684,-0.0519,1.0000
3.2025,-3.1658,1.0000
2.9184,-0.4273,1.0000
4.0288,-2.0012,1.0000
0.9421,-0.6809,1.0000
4.4239,-0.3672,1.0000
6.1667,-1.6073,1.0000
3.5875,0.6546,1.0000
2.9806,-1.7453,1.0000
4.6046,-1.8007,1.0000
2.9933,1.8192,1.0000
3.6539,-6.8987,1.0000
1.9708,0.7817,1.0000
3.0064,-2.3358,1.0000
2.4477,-0.6104,1.0000
3.8517,-3.8748,1.0000
2.7836,-1.9582,1.0000
3.6242,-0.8958,1.0000
3.9579,-2.1590,1.0000
3.1245,-2.8957,1.0000
4.9240,-0.7425,1.0000
3.8101,1.7881,1.0000
3.5951,3.0074,1.0000
4.3541,1.9029,1.0000
4.1702,-0.5986,1.0000
3.6064,-0.6104,1.0000
3.1957,0.1616,1.0000
5.5037,0.7036,1.0000
3.9081,-1.2786,1.0000
4.0432,-6.7360,1.0000
3.4637,1.4399,1.0000
5.5929,0.1095,1.0000
4.3167,-2.9950,1.0000
1.5603,-3.5814,1.0000
4.5895,-2.0404,1.0000
4.2212,-1.5339,1.0000
3.1957,-1.7002,1.0000
2.1918,0.2239,1.0000
2.4788,1.5766,1.0000
2.6012,-1.2883,1.0000
2.6022,0.7902,1.0000
4.2460,-0.1442,1.0000
4.5609,0.7744,1.0000
3.7107,1.7505,1.0000
3.6064,-4.5699,1.0000
4.2582,-2.7708,1.0000
2.4298,0.8726,1.0000
2.7738,0.9191,1.0000
3.4258,1.4831,1.0000
3.6061,-1.1653,1.0000
4.1692,-2.0020,1.0000
4.5229,-0.1412,1.0000
2.5831,-2.0012,1.0000
3.1107,0.0865,1.0000
3.0495,-0.4231,1.0000
3.7905,0.8824,1.0000
3.9684,-3.3438,1.0000
3.1274,-5.7188,1.0000
5.3508,-2.0312,1.0000
3.6198,-1.7002,1.0000
4.2478,2.7008,-1.0000
3.2073,3.9020,-1.0000
2.4916,2.2821,-1.0000
2.6468,3.8961,-1.0000
4.0610,2.8626,-1.0000
2.6025,4.1178,-1.0000
2.2725,2.3507,-1.0000
2.4163,1.9200,-1.0000
1.9768,3.4252,-1.0000
2.9793,3.1832,-1.0000
2.6171,2.8705,-1.0000
1.4638,3.5054,-1.0000
3.1218,4.3367,-1.0000
0.9855,2.8892,-1.0000
2.0521,1.9878,-1.0000
2.8090,3.1474,-1.0000
2.5368,2.7473,-1.0000
1.7829,2.9830,-1.0000
1.8972,3.3047,-1.0000
2.2783,1.5359,-1.0000
3.0647,3.5774,-1.0000
2.9915,3.3125,-1.0000
1.8447,3.5152,-1.0000
2.4683,2.1367,-1.0000
3.5263,2.9048,-1.0000
1.6367,4.7221,-1.0000
3.0418,4.1900,-1.0000
2.2435,4.3096,-1.0000
2.2326,4.0190,-1.0000
1.7958,2.1358,-1.0000
0.9352,3.1740,-1.0000
1.0591,2.2883,-1.0000
2.4916,3.0697,-1.0000
1.8425,3.4463,-1.0000
0.6512,3.6878,-1.0000
1.9342,4.0237,-1.0000
1.0214,4.2876,-1.0000
1.7018,2.4297,-1.0000
3.7060,3.2814,-1.0000
3.0750,3.6940,-1.0000
4.1595,3.5752,-1.0000
2.0722,2.2185,-1.0000
4.2221,3.3260,-1.0000
4.1835,3.5310,-1.0000
2.3050,2.9957,-1.0000
1.6074,2.5303,-1.0000
1.6074,2.4342,-1.0000
1.1147,2.4132,-1.0000
1.1478,3.4205,-1.0000
2.2187,3.2922,-1.0000
4.4397,3.1335,-1.0000
0.8326,3.1845,-1.0000
3.6102,4.4706,-1.0000
4.2084,3.2185,-1.0000
0.6476,2.5408,-1.0000
2.8135,2.0353,-1.0000
0.8487,2.9155,-1.0000
3.0954,3.3767,-1.0000
3.1250,2.2617,-1.0000
3.9502,4.9397,-1.0000
2.4999,3.5053,-1.0000
2.2631,3.6535,-1.0000
2.2870,2.1803,-1.0000
2.5451,2.0224,-1.0000
3.3049,3.6497,-1.0000
3.4380,3.5054,-1.0000
2.9722,2.7822,-1.0000
1.2839,3.4602,-1.0000
1.4485,2.4234,-1.0000
4.2471,1.4637,-1.0000
2.4683,2.2370,-1.0000
3.3784,3.5216,-1.0000
0.1082,3.2873,-1.0000
2.6072,2.4661,-1.0000
3.1250,3.2745,-1.0000
3.0053,2.3063,-1.0000
3.6674,1.6933,-1.0000
3.5855,4.2174,-1.0000
3.1542,3.1474,-1.0000
1.6105,2.4221,-1.0000
3.8764,4.7706,-1.0000
1.1238,2.4353,-1.0000
2.9946,3.6706,-1.0000
2.2882,2.0104,-1.0000
2.3995,2.9840,-1.0000
2.4588,3.1001,-1.0000
1.7958,4.3079,-1.0000
3.3305,2.3352,-1.0000
1.3086,2.8389,-1.0000
2.9793,2.5766,-1.0000
3.0647,2.5650,-1.0000
0.5547,2.0507,-1.0000
3.3089,3.3921,-1.0000
2.7411,3.5729,-1.0000
2.4134,3.3250,-1.0000
2.7300,4.7706,-1.0000
1.9132,3.0439,-1.0000
2.0338,4.6105,-1.0000
4.4706,2.3410,-1.0000
3.4211,2.1790,-1.0000
